pageid	primary_platform	platforms
253346	sega mega drive/genesis	amiga,atari st,amstrad cpc,commodore 64,zx spectrum,mega drive,master system,atari lynx,fm-towns,turbografx-cd
253354	apple ii	apple macintosh,amiga,atari st,apple iigs,amstrad cpc,nec pc-9801,sharp x68000,nintendo entertainment system,ms-dos
253360	nintendo ds	amiga,amstrad cpc,atari st,commodore 64,msx2,mobile phone,dos,microsoft windows,dreamcast,nintendo ds,linux,mac os x,amigaos 4,netbsd,aros,morphos,symbian os,atari ste
253362	sega mega drive/genesis	amiga,atari st,acorn archimedes,sega mega drive
253868	super nintendo entertainment system snes	dos,amiga,sega cd,snes,pc-98
253870	zx spectrum	amstrad cpc,zx spectrum,commodore 64,amiga,atari st,nintendo entertainment system,amiga cd32,microsoft windows
254113	commodore 64	atari st,amiga,blackberry,commodore 64,dos,nintendo entertainment system,sega master system
254537	nintendo famicom	nintendo entertainment system,family computer disk system,game boy advance,virtual console
254654	sega mega drive/genesis	amiga,atari st,amiga cd32,ms-dos,risc os,sega mega drive,super nintendo entertainment system,mobile phone,microsoft windows,os x,linux
261798	pc game	digital equipment corporation,pdp-10
265301	zx spectrum	arcade game,atari 2600,atari 8-bit,colecovision,commodore 64,zx spectrum,msx,amstrad cpc,bbc micro,ibm pc
265408	apple ii	amiga,amstrad cpc,amstrad pcw,apple ii,apricot pc,atari 8-bit family,atari st,commodore 64,cp/m,ms-dos,epson qx-10,kaypro ii,apple macintosh,osborne 1,ti-99/4a,trs-80,adobe flash
265444	apple macintosh	mac os,mac os x,microsoft windows
267616	zx spectrum	amiga,amstrad cpc,apple ii,apple iigs,apple macintosh,atari st,commodore 64,dos,nintendo entertainment system,zx spectrum,nec pc-9801
268311	apple ii	apple ii family,atari 8-bit family,commodore 64,apple macintosh,ms-dos
269921	commodore 64	atari 8-bit family,commodore 64,ibm pcjr,msx,nintendo entertainment system,nec pc-8801,sharp x1
274362		
276463	playstation	arcade game,playstation (console),playstation network
282328	microsoft windows	windows
286774	zx spectrum	bbc micro,acorn electron,apple ii,amstrad cpc,commodore 64,zx spectrum,msx,tatung einstein,ibm pc compatible,acorn archimedes,amiga,atari st,nintendo entertainment system
287165	xbox one	xbox (console),microsoft windows,os x,xbox 360,xbox one
288001	pc game	pc,windows
288354	microsoft windows	microsoft windows
289874	nintendo 64	playstation (console),nintendo 64,game boy color,dreamcast,n-gage (device),xbox (console)
289966	freebsd	microsoft windows,mac os x,gp2x,linux,freebsd
290129	nintendo 3ds	nintendo entertainment system,game boy,gamate,virtual console,wii,nintendo 3ds
290504	ms-dos	dos,amiga,amiga cd32,ios,unix,microsoft windows,os x
290832	apple macintosh	personal computer,microsoft windows,apple macintosh
292161	arcade game	arcade game
292733	nintendo gamecube	dreamcast,microsoft windows,nintendo gamecube,xbox (console)
292736	nintendo gamecube	gamecube,wii
292879	arcade game	arcade game
294312	microsoft windows	microsoft windows,os x
